Datum,dH [mm],dH [mm].1,dH [mm].2,dH [mm].3,dH [mm].4,dH [mm].5,dH [mm].6,dH [mm].7,dH [mm].8,dH [mm].9,dH [mm].10,dH [mm].11,dH [mm].12,dH [mm].13,dH [mm].14,dH [mm].15,dH [mm].16,dH [mm].17,dH [mm].18,dH [mm].19,dH [mm].20,dH [mm].21,dH [mm].22,dH [mm].23,dH [mm].24,dH [mm].25,dH [mm].26,dH [mm].27,dH [mm].28,dH [mm].29,dH [mm].30,dH [mm].31,dH [mm].32,dH [mm].33,dH [mm].34,dH [mm].35,dH [mm].36,dH [mm].37,dH [mm].38,dH [mm].39,dH [mm].40,dH [mm].41,dH [mm].42,dH [mm].43,dH [mm].44,dH [mm].45,dH [mm].46,dH [mm].47,dH [mm].48,dH [mm].49,dH [mm].50,dH [mm].51,dH [mm].52,dH [mm].53,dH [mm].54,dH [mm].55,dH [mm].56,dH [mm].57,dH [mm].58,dH [mm].59,dH [mm].60,dH [mm].61,Unnamed: 63
05.02.2024 01:40,-8.107,-7.974,-7.731,-7.282,-8.409,-7.341,0.62,-0.38,-6.417,-9.178,0.015,-0.747,0.489,1.688,4.402,2.158,0.2799,3.1328,2.0658,4.662,-3.545,0.979,-1.266,-0.84,-2.221,-3.309,-6.521,-1.357,-7.347,-8.062,-6.514,-8.304,0.0,-7.253,-7.215,-6.704,-8.313,-6.105,0.538,-0.252,-6.051,-9.075,1.669,1.61,0.188,1.343,1.773,-2.3622,-1.853,-0.164,3.8806,1.2862,3.115,-1.473,1.151,0.516,-2.23,-3.11,-7.036,-7.722,-5.614,-7.402,
05.02.2024 01:45,-7.9119,-7.7649,-7.7049,-7.2469,-8.3429,-7.2569,0.478,-0.653,-6.3489,-9.0809,-0.068,-0.923,0.309,1.357,4.108,2.144,0.2823,3.1188,2.0519,4.6471,-3.5169,1.0531,-1.2079,-0.7049,-2.1099,-3.2109,-6.4699,-1.2979,-7.2279,-7.9739,-6.4089,-8.1169,0.0,-7.0359,-6.9839,-6.6059,-8.2569,-6.0079,0.446,-0.413,-6.0119,-9.0949,1.539,1.411,-0.092,1.138,1.425,-2.3883,-1.896,-0.212,3.8663,1.2638,3.1421,-1.3769,1.1681,0.6911,-2.1109,-3.1129,-6.8849,-7.5319,-5.5049,-7.2249,
05.02.2024 01:50,-8.0031,-7.8941,-7.8221,-7.3971,-8.5101,-7.5041,0.318,-0.795,-6.5761,-9.3391,-0.127,-0.944,0.362,1.538,4.192,2.099,0.222,3.0746,2.0064,4.5899,-3.5891,1.0999,-1.2621,-0.7611,-2.1461,-3.1981,-6.4441,-1.4431,-7.1861,-8.1381,-6.4891,-8.2021,0.0,-7.1441,-7.1441,-6.8211,-8.3811,-6.2541,0.373,-0.562,-6.1961,-9.2561,1.432,1.301,-0.037,1.199,1.533,-2.3813,-1.888,-0.294,3.8211,1.2118,3.0679,-1.5231,1.1039,0.5339,-2.1671,-3.2191,-6.9541,-7.6171,-5.6921,-7.3231,
05.02.2024 01:55,-7.7353,-7.6953,-7.5163,-7.1893,-8.2763,-7.2273,0.488,-0.587,-6.3223,-9.0373,-0.05,-0.659,0.711,1.747,4.434,2.375,0.495,3.3492,2.2829,4.8697,-3.3683,1.3377,-0.9383,-0.6543,-1.9293,-2.9523,-6.2053,-1.2263,-6.9933,-7.9533,-6.1763,-7.9583,0.0,-6.9443,-6.8863,-6.5583,-8.1093,-5.9663,0.403,-0.237,-5.9383,-9.0603,1.634,1.469,0.35,1.437,1.736,-2.3601,-1.577,-0.014,4.0969,1.479,3.2437,-1.3383,1.3697,0.8687,-1.9833,-2.9123,-6.7223,-7.3553,-5.3353,-7.0273,
05.02.2024 02:00,-8.0104,-7.9414,-7.8364,-7.3984,-8.4834,-7.4574,0.651,-0.29,-6.5534,-9.2264,0.021,-0.709,0.649,1.519,4.267,2.061,0.1797,3.0358,1.969,4.5616,-3.6254,1.0436,-1.3684,-0.8804,-2.2314,-3.3374,-6.4244,-1.3744,-7.1454,-8.0764,-6.4854,-8.2294,0.0,-7.2094,-7.1054,-6.7824,-8.3544,-6.1954,0.464,-0.105,-6.1704,-9.1604,1.696,1.626,0.249,1.396,1.706,-2.3634,-1.926,-0.306,3.7831,1.1766,3.0326,-1.3174,1.1356,0.4896,-2.2674,-3.2304,-7.0114,-7.6054,-5.6534,-7.3454,
05.02.2024 02:05,-7.5991,-7.4671,-7.2921,-6.8871,-7.9701,-6.9361,0.441,-0.516,-6.0531,-8.7881,-0.004,-0.785,0.395,1.632,4.252,2.289,0.4173,3.2653,2.1974,4.7869,-3.2651,1.3929,-0.9771,-0.4991,-1.8471,-2.9471,-5.9741,-1.1601,-6.8341,-7.5481,-5.9771,-7.7651,0.0,-6.7441,-6.5751,-6.2321,-7.8981,-5.6761,0.467,-0.3,-5.6581,-8.7351,1.622,1.467,0.144,1.357,1.686,-2.3651,-1.674,-0.103,4.0109,1.3896,3.4979,-1.1541,1.5109,0.9819,-1.9791,-3.0941,-6.4851,-7.2181,-5.2471,-6.8311,
05.02.2024 02:10,-7.6498,-7.5728,-7.3988,-7.0398,-8.1348,-7.1188,0.599,-0.416,-6.2148,-8.9268,0.024,-0.68,0.388,1.817,4.376,2.336,0.4647,3.313,2.2452,4.8392,-3.1738,1.3922,-0.8528,-0.4088,-1.7428,-2.9208,-6.1478,-0.9378,-6.9038,-7.6428,-6.1108,-7.8568,0.0,-6.8218,-6.7158,-6.4098,-7.9888,-5.8498,0.551,-0.198,-5.7948,-8.8138,1.713,1.406,0.258,1.456,1.818,-2.3526,-1.676,-0.013,4.0583,1.461,3.5122,-1.0638,1.6022,1.0002,-1.8868,-2.8678,-6.6138,-7.2718,-5.2768,-6.8968,
05.02.2024 02:15,-7.5122,-7.5472,-7.3562,-6.9482,-8.0922,-6.9532,0.451,-0.759,-6.1022,-8.9342,-0.031,-0.768,0.754,1.805,4.286,2.402,0.536,3.3778,2.3107,4.9088,-3.2162,1.4158,-0.8962,-0.5682,-1.8222,-2.8552,-6.0632,-0.9212,-6.7542,-7.5752,-6.1442,-7.7662,0.0,-6.7422,-6.7292,-6.3832,-7.8912,-5.7182,0.501,-0.254,-5.7502,-8.7942,1.674,1.421,0.259,1.319,1.692,-2.3686,-1.484,0.012,4.1242,1.5196,3.4258,-0.9002,1.5878,0.9418,-1.7592,-2.7952,-6.4912,-7.2792,-5.1902,-6.7762,
05.02.2024 02:20,-8.0958,-8.2058,-7.8538,-7.5428,-8.6968,-7.5968,0.581,-0.319,-6.6648,-9.6338,0.269,-0.454,1.316,2.783,4.716,1.656,-0.2013,2.6329,1.5646,4.1632,-4.0758,0.8812,-1.1938,-1.0478,-2.3348,-3.6738,-6.6968,-1.5638,-7.4028,-8.1868,-6.6158,-8.3538,0.0,-7.3348,-7.3268,-6.9408,-8.5678,-6.3178,0.648,0.288,-6.3528,-9.5798,1.953,1.607,0.55,1.778,2.006,-2.3288,-2.307,-0.634,3.3789,0.789,2.6362,-1.8428,1.0302,0.5312,-2.5498,-3.6918,-7.1038,-7.8658,-5.6168,-7.3738,
05.02.2024 02:25,-7.5029,-7.4429,-7.3369,-6.9879,-8.0479,-7.0349,0.467,-0.571,-6.1249,-8.9459,0.057,-0.704,0.648,1.582,4.425,2.264,0.404,3.2403,2.1723,4.7661,-3.2119,1.4881,-0.8749,-0.5629,-1.7399,-2.8939,-6.0439,-0.9119,-6.9199,-7.7869,-6.0369,-7.8079,0.0,-6.6879,-6.6749,-6.3239,-7.8959,-5.7479,0.381,-0.482,-5.7489,-8.8309,1.651,1.671,0.195,1.468,1.692,-2.361,-1.74,-0.065,3.9862,1.4004,3.4311,-1.0099,1.5221,0.9961,-1.8619,-2.8129,-6.5909,-7.3069,-5.2539,-6.8499,
05.02.2024 02:30,-7.6528,-7.5958,-7.4248,-6.9898,-8.2068,-7.1618,0.26,-0.394,-6.1928,-8.8278,-0.182,-0.798,0.171,1.542,4.117,2.068,0.2018,3.0451,1.977,4.5742,-3.4258,1.3432,-0.8688,-0.4748,-1.9368,-2.9828,-6.0398,-0.8898,-7.0328,-7.6338,-6.1488,-7.8858,0.0,-6.8088,-6.7928,-6.4348,-7.9998,-5.8458,0.416,-0.273,-5.7998,-8.9198,1.627,1.231,0.128,1.322,1.507,-2.3854,-1.832,-0.251,3.7904,1.2004,3.2362,-1.0618,1.3912,0.9122,-1.8888,-2.7028,-6.6148,-7.2708,-5.4678,-6.9378,
05.02.2024 02:35,-7.2975,-7.2985,-7.0765,-6.6385,-7.7335,-6.7055,0.415,-0.425,-5.8245,-8.5275,-0.009,-0.707,0.639,1.982,4.452,2.275,0.412,3.2521,2.1844,4.7825,-3.0955,1.4865,-0.7285,-0.3115,-1.6695,-2.7995,-5.8245,-0.8515,-6.5105,-7.3795,-5.7865,-7.5095,0.0,-6.4695,-6.4505,-6.0315,-7.6355,-5.4395,0.411,-0.315,-5.4645,-8.5505,1.724,1.447,0.446,1.42,1.702,-2.3663,-1.641,-0.005,3.9974,1.4102,3.5375,-1.0305,1.6795,1.2075,-1.6565,-2.6245,-6.2495,-6.9225,-4.8975,-6.5525,
