Datum;dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];
06.02.2024 22:55;-3.0577;-3.2067;-2.6357;-2.4437;-3.4167;-2.6547;0.4240;-0.5060;-1.7567;-4.2917;-0.1480;-0.9870;0.5580;1.4300;3.9980;2.4690;0.5875;3.4437;2.3784;4.9683;2.0293;7.1043;4.7573;4.9803;3.8023;2.7883;-1.0907;3.9573;-2.4997;-3.1827;-1.2067;-3.3207;0.0000;-2.2937;-2.2937;-1.8437;-3.2537;-1.2807;0.2370;-0.5450;-1.0437;-4.1887;1.2130;1.0800;0.2270;1.3100;1.5180;-2.3770;-1.3610;0.2450;4.1912;1.5826;9.2723;4.5903;7.4803;6.6083;3.1773;2.2943;-2.0547;-2.7427;-0.5377;-2.3507;
06.02.2024 22:50;-2.4505;-2.4855;-2.3255;-1.9445;-2.9155;-2.1205;0.3500;-0.5470;-1.0505;-3.5245;-0.1070;-1.0170;0.4110;1.4260;4.0680;2.2820;0.3957;3.2590;2.1919;4.7845;2.0665;6.9435;4.6245;4.9005;3.2185;2.5095;-0.8255;3.8765;-1.7645;-2.1505;-0.8055;-2.7075;0.0000;-1.6425;-1.6735;-1.3455;-2.8015;-0.6835;0.1220;-0.4740;-0.5875;-3.5155;1.1840;1.3030;0.3270;1.3360;1.5510;-2.3750;-1.5210;0.0980;4.0048;1.4098;9.1465;4.5185;6.9415;6.5385;3.1695;2.5905;-1.4995;-2.1315;-0.0895;-1.8155;
06.02.2024 22:45;-2.8738;-2.8868;-2.7088;-2.2908;-3.1548;-2.4978;0.3640;-0.7440;-1.3918;-3.9538;-0.3020;-1.1810;0.3360;0.9820;3.8910;2.1570;0.2955;3.1334;2.0679;4.6642;1.8172;6.8612;4.3222;4.7532;3.1082;2.3872;-1.3108;3.7982;-1.9948;-2.7748;-1.2338;-3.1578;0.0000;-2.0868;-2.0518;-1.6618;-3.0438;-1.0488;-0.1100;-0.2090;-0.8658;-3.8858;1.1200;1.2660;-0.2210;1.1130;1.2760;-2.3981;-1.6190;0.0330;3.8803;1.2908;9.0032;4.1182;6.8442;6.4702;2.7852;2.2242;-1.9168;-2.6338;-0.3418;-2.1758;
06.02.2024 22:40;-3.0427;-3.0907;-2.9257;-2.5617;-3.4447;-2.7637;0.5170;-0.2960;-1.6997;-4.2047;-0.0970;-0.9140;0.4190;1.6320;4.0320;2.4170;0.5369;3.3932;2.3265;4.9203;1.9953;7.0963;4.3903;5.0393;3.2743;2.6663;-1.1927;4.1283;-2.1717;-3.0967;-1.5117;-3.3397;0.0000;-2.2717;-2.2337;-1.9017;-3.3007;-1.3207;0.3030;-0.0780;-1.1327;-4.1677;1.3530;1.6020;0.0960;1.3400;1.5930;-2.3702;-1.4930;0.3030;4.1400;1.5400;8.9893;4.3703;7.3273;6.6873;3.1433;2.6453;-2.1017;-2.8627;-0.6547;-2.3747;
06.02.2024 22:35;-3.5515;-3.6415;-3.4155;-3.0495;-3.9485;-3.2525;0.5430;-0.1040;-2.1315;-4.7335;0.1300;-0.6870;0.7280;1.9460;4.3830;2.5980;0.6980;3.5732;2.5082;5.1035;2.0935;7.0205;4.6515;4.8055;3.2715;2.6205;-1.5275;4.1685;-2.8765;-3.2085;-2.0845;-3.8815;0.0000;-2.8035;-2.8325;-2.4035;-3.9585;-1.8415;0.5230;0.0500;-1.6815;-4.6665;1.5430;1.6500;0.5480;1.5520;1.8690;-2.3440;-1.2280;0.3920;4.3212;1.7270;9.1125;4.3305;7.1295;6.4005;2.9725;2.2975;-2.5815;-3.2465;-1.0215;-2.8865;
06.02.2024 22:30;-2.5205;-2.5725;-2.4095;-2.0665;-3.0225;-2.2705;0.4700;-0.3750;-1.2135;-3.6605;-0.1160;-0.8320;0.4160;1.7510;4.2400;2.3570;0.4676;3.3332;2.2671;4.8595;1.8655;6.7715;4.2455;4.7205;2.8575;2.4795;-0.8655;3.4575;-1.7055;-2.4865;-1.0445;-2.8805;0.0000;-1.7735;-1.7805;-1.4235;-2.9185;-0.8425;0.3190;-0.1630;-0.6875;-3.6175;1.3820;1.4710;0.2930;1.4370;1.7680;-2.3584;-1.4990;0.1640;4.0800;1.4744;8.9275;3.9995;6.8415;6.2395;2.8055;2.4155;-1.5985;-2.2925;-0.0355;-1.8495;
06.02.2024 22:25;-3.8306;-3.7756;-3.7146;-3.3076;-4.0386;-3.4966;0.5320;-0.1000;-2.3976;-4.7436;-0.0180;-0.7420;0.5130;2.1810;4.3030;2.0490;0.1705;3.0243;1.9588;4.5504;1.6964;6.9114;4.0104;4.7634;2.7394;2.7884;-1.4496;3.8164;-3.1136;-3.7686;-2.1816;-4.1876;0.0000;-3.0986;-2.7726;-2.6496;-3.9686;-2.0786;0.4750;0.2880;-1.8696;-4.7386;1.5980;1.3120;0.5520;1.4760;1.8050;-2.3623;-1.8540;-0.1800;3.7715;1.1730;8.7214;3.8324;6.6124;6.4234;2.6134;2.3194;-2.8416;-3.4776;-1.8876;-3.1486;
06.02.2024 22:20;-2.8520;-2.8830;-2.7270;-2.3540;-3.2940;-2.4760;0.5290;-0.0970;-1.4630;-4.0520;0.0740;-0.6770;0.7950;1.7000;4.3510;2.3800;0.4925;3.3570;2.2914;4.8950;2.5190;7.4520;4.8510;4.8090;3.7840;2.7310;-1.0290;4.1690;-2.1090;-2.7610;-1.4450;-3.1450;0.0000;-2.0740;-2.0230;-1.8180;-3.1610;-1.0620;0.6370;-0.0300;-0.9610;-3.9520;1.5880;1.5570;0.5870;1.5490;1.8020;-2.3512;-1.4500;0.1760;4.1035;1.5318;9.0760;4.7160;8.2310;7.0550;3.6100;2.7900;-1.9750;-2.5870;-0.4190;-2.2040;
06.02.2024 22:15;-2.6112;-2.7052;-2.4722;-2.0862;-2.9082;-2.2062;0.6240;-0.3610;-1.1022;-3.6722;0.1400;-0.6200;1.0370;1.8750;4.4570;2.6960;0.8284;3.6732;2.6064;5.2088;2.2798;7.0188;4.2258;4.9808;3.4398;2.4718;-0.8082;4.1608;-1.8882;-2.3842;-0.9692;-2.8252;0.0000;-1.9052;-1.6332;-1.3822;-2.8722;-0.7572;0.6940;-0.0020;-0.5832;-3.6262;1.6670;1.6920;0.4600;1.6710;1.9300;-2.3398;-1.1780;0.5390;4.4191;1.8328;9.2918;4.3848;6.9628;6.4688;3.2048;3.0188;-1.5612;-2.2282;-0.2112;-1.8052;
06.02.2024 22:10;-2.6071;-2.5831;-2.3371;-1.8531;-2.8501;-2.0871;0.5500;-0.1460;-1.0141;-3.4351;0.0380;-0.6760;0.6260;2.1330;4.4460;2.5350;0.6421;3.5119;2.4447;5.0459;2.0849;6.9899;4.5679;4.8569;3.4029;2.5909;-0.9451;3.9539;-1.9091;-2.5311;-1.0511;-2.8601;0.0000;-1.7871;-1.6371;-1.2441;-2.7841;-0.6421;0.5100;-0.1140;-0.4921;-3.3551;1.6080;1.5600;0.5340;1.6770;1.9480;-2.3415;-1.3710;0.3370;4.2580;1.6730;9.0709;4.7939;7.2869;6.9949;3.1459;2.3529;-1.6091;-2.0041;-0.0601;-1.8531;
