Datum;dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];
06.02.2024 00:20;-1.4763;-1.5273;-1.1763;-1.0403;-1.9443;-0.8073;-0.9260;-0.4050;0.1267;-2.3103;-0.9080;-1.6640;-0.2180;1.0330;3.6950;0.1430;-1.7611;1.1204;0.0541;2.6797;1.4917;3.0157;0.4557;2.1307;2.9257;-0.5703;-1.3983;3.6777;-0.5863;-1.2973;-0.5343;-1.6953;0.0000;-0.7223;-0.5363;-0.2753;-1.8193;0.4007;0.3710;-0.2360;0.3677;-2.4313;1.2760;0.6240;-0.3150;0.6160;0.9470;-2.4306;-3.7460;-1.9670;1.8657;-0.6498;6.8137;1.8617;2.0167;4.4047;2.9547;1.9117;-0.4913;-0.9553;-0.0543;-0.7523;
06.02.2024 00:15;-1.7578;-1.7488;-1.5348;-1.4368;-2.2128;-1.0988;-0.8150;-0.3100;-0.2238;-2.4778;-0.7290;-1.4680;-0.0600;1.2220;3.7630;0.2830;-1.6136;1.2629;0.1941;2.8232;1.8582;3.3732;0.6282;2.1352;3.1932;-0.5658;-1.4968;3.6072;-0.8518;-1.3758;-0.7198;-1.9738;0.0000;-0.9708;-0.8208;-0.5798;-2.0358;0.0702;0.3090;-0.0980;0.1422;-2.6238;1.3380;0.6580;-0.2030;0.8510;1.0350;-2.4229;-3.5040;-1.8480;2.0057;-0.5264;6.8942;2.1972;2.3822;4.6052;3.0312;2.0872;-0.7338;-1.2318;-0.3938;-0.9898;
06.02.2024 00:10;-1.4553;-1.5553;-1.2283;-0.9843;-1.8113;-0.7963;-0.7760;-0.2450;0.1867;-2.1383;-0.7550;-1.4560;-0.2530;1.2180;4.0160;0.4000;-1.5098;1.3784;0.3109;2.9417;1.7467;3.2977;0.8917;2.5887;3.2587;-0.1483;-1.0043;3.9247;-0.5663;-1.1703;-0.4983;-1.6903;0.0000;-0.6683;-0.5913;-0.1073;-1.6743;0.3977;0.3530;-0.4030;0.4307;-2.3513;1.2880;0.9670;-0.3700;0.8270;1.1600;-2.4031;-3.3930;-1.7240;2.1228;-0.4098;7.2057;2.3807;2.3837;4.4557;3.4217;2.4547;-0.3463;-0.9053;-0.0583;-0.7413;
06.02.2024 00:05;-1.0293;-1.1483;-0.8503;-0.6753;-1.4983;-0.4053;-0.7530;-0.1650;0.4507;-1.9713;-0.5530;-1.2840;0.0870;1.4570;4.0230;0.3990;-1.5016;1.3772;0.3098;2.9377;1.7027;3.4297;1.0347;2.5877;3.4607;0.0657;-0.9873;3.9927;-0.2883;-1.1053;-0.0803;-1.3063;0.0000;-0.3073;-0.1113;0.1367;-1.3673;0.7527;0.6090;0.0190;0.8137;-2.0173;1.4840;0.9720;-0.0350;0.9880;1.2830;-2.3970;-3.3650;-1.6760;2.1220;-0.3998;7.1087;2.2337;2.5227;4.8667;3.2787;2.3347;-0.1113;-0.6633;0.2877;-0.4333;
06.02.2024 00:00;-1.1522;-1.2352;-0.9662;-0.8392;-1.6372;-0.5622;-0.6960;-0.0450;0.3188;-2.0252;-0.6600;-1.3370;0.0900;1.2290;4.0120;0.5510;-1.3388;1.5285;0.4618;3.0938;1.7828;3.4178;1.0158;2.5738;3.3228;0.0338;-1.0572;4.1138;-0.3142;-1.1382;-0.2592;-1.4862;0.0000;-0.4112;-0.2392;0.0038;-1.4852;0.6598;0.5520;0.0510;0.7408;-2.1052;1.4550;0.9340;-0.1630;0.8940;1.2350;-2.3971;-3.2590;-1.5280;2.2744;-0.2592;7.2988;2.2728;2.4758;4.7838;3.2678;2.3478;-0.2622;-0.6672;0.1548;-0.5182;
05.02.2024 23:55;-1.1552;-1.1932;-0.8682;-0.7392;-1.5372;-0.5132;-0.8560;-0.3280;0.4088;-1.9812;-0.7680;-1.5130;-0.1980;1.0280;3.7970;0.2450;-1.6480;1.2228;0.1560;2.7818;1.5748;3.3108;0.7808;2.2598;3.0208;-0.0712;-1.1142;3.9168;-0.3872;-0.9042;-0.3062;-1.4332;0.0000;-0.4342;-0.2342;0.0508;-1.4072;0.6698;0.4580;-0.1700;0.8068;-2.0202;1.3170;0.7620;-0.2980;0.7200;0.9710;-2.4235;-3.5090;-1.8450;1.9683;-0.5634;6.9308;1.9758;2.1238;4.6548;2.9858;2.0058;-0.2182;-0.6322;0.2528;-0.5012;
05.02.2024 23:50;-1.2841;-1.4281;-0.9431;-0.8011;-1.7431;-0.6371;-0.8040;-0.3920;0.2819;-2.1401;-0.8150;-1.5030;-0.0570;1.1290;3.8440;0.2960;-1.6052;1.2763;0.2071;2.8369;1.5489;3.2219;0.7089;2.3219;3.0949;-0.1161;-1.2711;3.7909;-0.5341;-1.1171;-0.3321;-1.5911;0.0000;-0.5831;-0.3531;-0.0711;-1.6721;0.5209;0.4140;-0.1620;0.5939;-2.2471;1.3150;0.7760;-0.2440;0.7110;1.0510;-2.4180;-3.4260;-1.7860;2.0189;-0.5116;7.0109;2.1349;2.3779;4.6509;3.1289;2.0749;-0.3011;-0.8981;-0.1471;-0.6331;
05.02.2024 23:45;-1.3267;-1.4357;-0.9157;-0.8747;-1.6757;-0.5497;-0.8120;-0.2720;0.3983;-2.1047;-0.8840;-1.5370;-0.1650;0.9870;3.7350;0.3200;-1.5736;1.2981;0.2300;2.8453;1.5553;3.3343;0.7303;2.4763;3.0213;0.2483;-1.2137;3.8133;-0.4347;-1.2247;-0.2287;-1.6027;0.0000;-0.6297;-0.3797;-0.0747;-1.4947;0.6063;0.4560;-0.1030;0.6953;-2.2197;1.2650;0.7960;-0.2610;0.7540;1.0140;-2.4222;-3.4480;-1.7790;2.0418;-0.5160;6.9793;2.1983;2.2263;4.5743;3.0413;2.0943;-0.2957;-0.8687;0.0633;-0.6437;
05.02.2024 23:40;-1.5109;-1.5639;-1.2699;-1.1329;-2.0389;-0.9709;-0.8780;-0.3140;-0.0079;-2.3689;-0.7350;-1.4190;-0.1380;1.0470;3.9330;0.2820;-1.6199;1.2611;0.1932;2.8271;1.4671;3.2131;0.7911;2.2511;2.9051;-0.0109;-1.4359;3.5241;-0.8359;-1.4209;-0.4659;-1.8269;0.0000;-0.7829;-0.6249;-0.4319;-1.9169;0.2721;0.4400;-0.3230;0.3841;-2.4959;1.2160;0.8540;-0.1210;0.9010;1.1090;-2.4163;-3.5430;-1.7650;2.0055;-0.5210;7.0201;2.4391;2.2091;4.5961;2.9411;1.9511;-0.5379;-1.0789;-0.0319;-0.8129;
05.02.2024 23:35;-1.4071;-1.5471;-1.2321;-1.0961;-1.9481;-0.8531;-0.8440;-0.3840;0.1339;-2.2451;-0.7080;-1.4800;-0.0030;1.2400;3.8760;0.5450;-1.3515;1.5256;0.4562;3.0789;1.7209;3.5959;0.9439;2.6449;3.1599;-0.0161;-1.1831;3.8459;-0.8001;-1.3831;-0.3971;-1.7281;0.0000;-0.7221;-0.5961;-0.2861;-1.7671;0.3669;0.3970;-0.0830;0.4509;-2.3841;1.2020;0.8470;-0.2540;0.8710;1.1380;-2.4051;-3.2530;-1.5210;2.2685;-0.2552;7.2249;2.2129;2.7109;4.9059;3.0959;2.1279;-0.5531;-1.0651;-0.1351;-0.7671;
05.02.2024 23:30;-1.0178;-1.0128;-0.7178;-0.5998;-1.4318;-0.3608;-0.6910;-0.2880;0.6152;-1.7968;-0.5980;-1.3200;0.1060;1.2570;4.0880;0.5990;-1.2954;1.5788;0.5102;3.1332;1.7312;3.4282;0.9032;2.5142;3.2982;0.0362;-0.9588;3.9172;-0.1958;-0.9228;-0.0768;-1.2748;0.0000;-0.3198;-0.0918;0.1662;-1.2678;0.8432;0.6600;0.0430;0.9492;-1.8748;1.4150;0.8890;-0.0750;1.0140;1.2910;-2.3895;-3.1640;-1.4610;2.3224;-0.1930;7.1072;2.4222;2.5852;4.7212;3.2802;2.1752;-0.0628;-0.5368;0.5622;-0.3398;
05.02.2024 23:25;-1.4199;-1.5659;-1.2309;-1.0599;-1.9559;-0.8769;-1.0420;-0.9570;0.1371;-2.1439;-1.1080;-1.8740;-0.7380;0.6950;3.4870;-0.0720;-1.9569;0.9094;-0.1604;2.4771;1.2711;2.9911;0.3971;2.3331;2.6361;-0.2659;-1.3939;3.4211;-0.4939;-1.6519;-0.5209;-1.7469;0.0000;-0.7339;-0.5849;-0.3099;-1.7749;0.3101;-0.0010;-0.7760;0.4371;-2.2649;0.8910;0.3080;-0.4530;0.4300;0.6870;-2.4567;-3.7680;-2.0380;1.6519;-0.8490;6.5291;1.5821;1.8221;4.3611;2.6131;1.9451;-0.4909;-0.6209;-0.1139;-0.6519;
05.02.2024 23:20;-1.4545;-1.5775;-1.2045;-1.1035;-1.8925;-0.9255;-0.7750;-0.3670;0.0205;-2.2725;-0.7970;-1.5050;-0.1020;1.1510;3.7680;0.2460;-1.6520;1.2259;0.1574;2.7935;1.6635;3.3375;0.7635;2.2405;2.9995;-0.0575;-1.2785;3.7675;-0.6335;-1.2695;-0.4365;-1.7935;0.0000;-0.7165;-0.6075;-0.3125;-1.7715;0.3135;0.4210;0.0060;0.4495;-2.3865;1.2220;0.6950;-0.1390;0.8080;1.1170;-2.4156;-3.4720;-1.7920;1.9697;-0.5352;6.9875;2.0905;2.3565;4.5345;2.8685;2.1055;-0.5215;-1.1105;-0.1805;-0.7955;
05.02.2024 23:15;-1.0915;-1.2075;-1.0015;-0.7045;-1.5755;-0.5815;-0.8840;-0.3500;0.4075;-2.0835;-0.8470;-1.5990;-0.1590;1.1610;3.7990;0.3850;-1.5239;1.3668;0.2963;2.9335;1.7185;3.3105;0.9305;2.4935;3.2825;0.2825;-0.9325;4.0355;-0.3515;-1.1345;-0.2035;-1.3905;0.0000;-0.3735;-0.2405;0.1045;-1.3835;0.6385;0.4170;-0.0680;0.7765;-2.1605;1.2630;0.6770;-0.1520;0.8300;1.1020;-2.4127;-3.4340;-1.6520;2.1085;-0.3930;7.2025;2.3185;2.4195;4.7075;3.2875;2.3105;-0.1835;-0.6715;0.2125;-0.3905;
05.02.2024 23:10;-1.2879;-1.3139;-1.0009;-0.9189;-1.7969;-0.6699;-0.8980;-0.1680;0.2901;-2.0049;-0.9240;-1.6990;-0.1590;0.9170;3.5840;0.0550;-1.8476;1.0360;-0.0337;2.5901;1.3711;3.0721;0.5601;2.2111;2.9421;-0.3519;-1.3529;3.7401;-0.5899;-1.3779;-0.4889;-1.6639;0.0000;-0.5659;-0.3839;-0.1719;-1.5829;0.5531;0.4610;-0.0860;0.6561;-2.1359;1.2920;0.5830;-0.3150;0.6770;0.9000;-2.4399;-3.6830;-1.9690;1.7778;-0.7466;6.8361;1.9761;2.0671;4.3611;2.9041;2.0631;-0.3969;-0.8499;0.1511;-0.6279;
05.02.2024 23:05;-1.4907;-1.5567;-1.2197;-1.0957;-1.8477;-0.9047;-0.9440;-0.3830;0.0923;-2.2377;-0.8550;-1.7050;-0.1230;0.9820;3.5680;-0.0050;-1.8920;0.9769;-0.0935;2.5383;1.3693;2.9313;0.4683;1.9793;2.7863;-0.4907;-1.4987;3.5293;-0.8277;-1.4687;-0.5737;-1.8047;0.0000;-0.7647;-0.5277;-0.2657;-1.7267;0.3153;0.3620;-0.1560;0.4683;-2.2707;1.2040;0.7600;-0.2380;0.5910;0.9310;-2.4322;-3.7560;-1.9850;1.7186;-0.7892;6.8023;1.9193;1.9153;4.1923;2.7413;1.9023;-0.5357;-0.9787;-0.1167;-0.7717;
05.02.2024 23:00;-0.9695;-1.0635;-0.7255;-0.6305;-1.4275;-0.3225;-1.5200;-0.5690;0.5785;-1.6785;-1.3720;-2.2620;-0.8570;0.3620;2.9640;-0.3250;-2.2136;0.6559;-0.4120;2.2315;1.2205;2.8775;0.1445;1.8815;3.1575;-0.3505;-1.2455;3.3085;-0.2325;-1.0295;-0.3435;-1.3035;0.0000;-0.2805;-0.0615;0.1925;-1.2255;0.8565;-0.1670;-0.3800;0.9535;-1.7965;0.7750;0.0570;-1.2310;-0.0190;0.3170;-2.4953;-4.0030;-2.2620;1.3995;-1.0948;6.5895;1.6055;1.8575;4.3935;2.5385;1.3845;-0.0795;-0.5265;0.1595;-0.3105;
05.02.2024 22:55;-1.1054;-1.2434;-0.8744;-0.7594;-1.6014;-0.5094;-0.9100;-0.3690;0.4296;-1.8344;-1.0000;-1.7590;-0.3010;0.7180;3.5720;0.0250;-1.8719;1.0056;-0.0636;2.5706;1.5496;2.9836;0.4996;2.1466;3.0906;-0.2564;-1.2344;3.6006;-0.3284;-1.1284;-0.1654;-1.3864;0.0000;-0.3884;-0.2064;0.0316;-1.3974;0.7266;0.5270;0.0450;0.8246;-1.9824;1.2770;0.6120;-0.4290;0.4830;0.8200;-2.4435;-3.7730;-2.0230;1.7482;-0.7470;6.8616;1.9416;1.9716;4.4096;3.0356;2.1356;-0.1494;-0.6584;0.2206;-0.4024;
05.02.2024 22:50;-1.5065;-1.5845;-1.2695;-1.1325;-1.9555;-0.8675;-1.1830;-0.5990;0.0775;-2.2325;-1.3160;-2.1180;-0.7360;0.3150;3.1650;-0.5130;-2.4321;0.4681;-0.6026;2.0315;1.2275;2.4955;0.1885;1.7565;2.6445;-0.8425;-1.5695;3.4575;-0.7935;-1.4355;-0.5895;-1.8055;0.0000;-0.7595;-0.6045;-0.3355;-1.7845;0.3485;0.2840;-0.0770;0.4315;-2.3535;1.1810;0.2140;-0.6920;0.2090;0.4570;-2.4852;-4.1830;-2.5090;1.2101;-1.3006;6.5725;1.3035;1.3635;4.0255;2.5505;1.6725;-0.6025;-1.0535;-0.2735;-0.8165;
05.02.2024 22:45;-1.2790;-1.3480;-1.0020;-0.9160;-1.7440;-0.6150;-0.8430;-0.0200;0.3790;-1.9910;-0.9920;-1.7970;-0.3770;0.7550;3.5200;0.0130;-1.8952;0.9920;-0.0763;2.5510;1.4340;2.8280;0.1550;2.1190;3.0720;-0.3850;-1.4210;3.5960;-0.7860;-1.2150;-0.5570;-1.6180;0.0000;-0.5310;-0.4570;-0.1130;-1.5840;0.6230;0.5630;-0.0160;0.6680;-2.1990;1.4320;0.6660;-0.4790;0.5150;0.8670;-2.4386;-3.7510;-2.0060;1.7357;-0.7820;6.8620;1.6810;1.9150;4.1970;2.8250;1.5760;-0.4440;-0.9460;-0.0150;-0.6010;
05.02.2024 22:40;-1.3991;-1.4191;-0.9671;-0.9621;-1.7321;-0.7101;-0.9360;-0.2640;0.3039;-1.9801;-0.9410;-1.8030;-0.2900;0.8910;3.5210;0.0820;-1.8133;1.0634;-0.0070;2.6319;1.5749;3.1199;0.4909;2.1529;3.1009;-0.5351;-1.4921;3.6819;-0.6051;-1.3261;-0.2801;-1.7011;0.0000;-0.6281;-0.4501;-0.1831;-1.6291;0.5429;0.3250;-0.1360;0.6499;-2.1011;1.2670;0.6130;-0.5070;0.4760;0.8170;-2.4448;-3.6790;-1.9300;1.8052;-0.6982;6.9579;2.0049;2.0659;4.3259;3.1349;2.2289;-0.3621;-0.9261;-0.0981;-0.6541;
05.02.2024 22:35;-1.9623;-1.9773;-1.6523;-1.6023;-2.4103;-1.3483;-0.8680;-0.3190;-0.4153;-2.5993;-1.3310;-2.0840;-0.5200;0.5860;3.2360;-0.4170;-2.3167;0.5629;-0.5064;2.1217;1.0877;2.6697;-0.0023;1.5837;2.6807;-0.8023;-1.8943;3.4087;-1.1793;-1.8523;-0.9393;-2.2803;0.0000;-1.2353;-0.9703;-0.7853;-2.1433;-0.0763;0.4480;-0.1160;0.0527;-2.6453;1.3070;0.2960;-0.7230;0.1650;0.5210;-2.4770;-4.1380;-2.4560;1.3064;-1.2190;6.5037;1.3657;1.5657;3.8637;2.5247;1.5887;-1.0403;-1.5933;-0.6493;-1.2693;
05.02.2024 22:30;-1.7288;-1.7878;-1.5008;-1.4198;-2.1968;-1.2328;-0.9070;-0.3290;-0.3518;-2.5188;-1.3830;-2.0820;-0.4220;0.6780;3.2200;-0.3430;-2.2340;0.6360;-0.4333;2.1852;1.0052;2.6512;0.1212;1.6642;2.8092;-0.4838;-1.8008;3.3012;-0.9958;-1.4238;-0.7508;-2.0008;0.0000;-0.9588;-0.8088;-0.5958;-2.0838;-0.0418;0.3350;-0.1440;0.1492;-2.5688;1.2680;0.2390;-0.5900;0.2590;0.5190;-2.4739;-4.1210;-2.4820;1.3793;-1.1636;6.5422;1.4912;1.6242;3.9282;2.4952;1.4312;-0.8108;-1.2848;-0.3578;-1.0758;
05.02.2024 22:25;-1.5546;-1.5776;-1.1976;-1.1776;-1.9866;-0.8626;-0.7990;-0.1630;0.0234;-2.2196;-1.3470;-2.0430;-0.5320;0.7100;3.2030;-0.3360;-2.2191;0.6456;-0.4254;2.2084;1.2434;2.7764;0.3324;1.7944;2.7654;-0.5466;-1.7516;3.2824;-0.8366;-1.5236;-0.6816;-1.9026;0.0000;-0.8236;-0.6156;-0.4296;-1.8256;0.3414;0.4830;-0.2600;0.4594;-2.3056;1.3800;0.2300;-0.5980;0.2620;0.5540;-2.4663;-4.0770;-2.3950;1.3869;-1.1430;6.6374;1.6324;1.7784;4.1024;2.6604;1.7474;-0.6376;-1.0436;-0.2596;-0.8716;
05.02.2024 22:20;-1.4840;-1.5290;-1.2230;-1.1240;-1.8740;-0.8700;-0.8880;-0.1010;0.0380;-2.2570;-1.0720;-1.9040;0.0400;0.7990;3.2770;-0.1530;-2.0366;0.8271;-0.2414;2.3930;1.6290;3.2020;0.6350;2.0790;3.1700;0.1830;-1.1800;4.0010;-0.7780;-1.5980;-0.4820;-1.8080;0.0000;-0.7140;-0.6280;-0.2780;-1.7920;0.3460;0.4560;0.0720;0.4780;-2.3470;1.2640;0.4580;-0.5530;0.4350;0.6980;-2.4603;-3.8600;-2.1950;1.5704;-0.9516;6.9850;2.0180;2.2360;4.5340;2.9380;2.2140;-0.5260;-1.0560;-0.1880;-0.8220;
05.02.2024 22:15;-1.0659;-1.1599;-0.9019;-0.7289;-1.4879;-0.4639;-0.7700;-0.3430;0.5681;-1.8839;-1.1980;-1.9950;-0.5160;0.7790;3.3380;-0.1920;-2.0915;0.7883;-0.2810;2.3531;1.4001;3.1821;0.5101;1.9721;2.9511;-0.1559;-1.1479;3.7701;-0.3569;-1.1159;-0.2399;-1.4349;0.0000;-0.3329;-0.3049;0.0731;-1.3159;0.7541;0.4380;-0.1040;0.8061;-1.9729;1.2270;0.4330;-0.3730;0.3450;0.6270;-2.4610;-3.9160;-2.1960;1.5313;-1.0074;6.8401;1.9441;2.0611;4.4121;2.8271;2.1421;-0.2129;-0.7449;0.3311;-0.4139;
05.02.2024 22:10;-1.8341;-1.9451;-1.5461;-1.4741;-2.2761;-1.2521;-0.8910;-0.3790;-0.3381;-2.6851;-1.6290;-2.3730;-0.9520;0.4330;2.8600;-0.4790;-2.3819;0.5007;-0.5690;2.0589;1.0329;2.7319;-0.0531;1.6649;2.4849;-0.8421;-1.8461;3.2289;-0.9901;-1.6721;-0.9281;-2.1421;0.0000;-1.1321;-1.0151;-0.6621;-2.1481;-0.0311;0.2380;-0.2820;0.0949;-2.6461;1.1350;-0.0250;-0.9610;-0.0160;0.2200;-2.5024;-4.1680;-2.6150;1.2439;-1.2980;6.4679;1.3359;1.6329;3.8369;2.3909;1.3949;-0.8151;-1.4011;-0.4031;-1.1471;
05.02.2024 22:05;-0.9069;-1.0509;-0.7649;-0.6859;-1.4789;-0.4499;-0.9860;-0.4590;0.5591;-1.7629;-1.2040;-1.9940;-0.1470;0.8570;3.2960;0.0560;-1.8512;1.0351;-0.0343;2.5841;1.5861;3.3871;0.7421;2.3891;2.9941;-0.0329;-1.1119;3.8811;-0.1419;-0.9519;0.2251;-1.2649;0.0000;-0.1839;-0.1329;0.1091;-1.3409;0.7711;0.4080;-0.2170;0.8951;-1.9079;1.2090;0.5730;-0.8800;0.3420;0.6780;-2.4543;-3.6520;-2.0420;1.7787;-0.7634;7.1951;2.0791;2.3021;4.5091;2.9071;1.9721;-0.0249;-0.6939;0.4851;-0.2799;
05.02.2024 22:00;-1.8781;-1.9631;-1.7131;-1.5871;-2.2651;-1.2521;-0.7100;-0.4740;-0.1981;-2.6971;-1.0370;-1.7910;-0.2280;1.0200;3.5150;0.1850;-1.7067;1.1643;0.0956;2.7199;1.8299;3.6229;0.8329;2.4289;3.1019;0.0319;-1.6921;3.6819;-1.3321;-1.8431;-1.1371;-2.2001;0.0000;-1.1131;-1.0541;-0.6801;-2.1611;-0.0461;0.3560;-0.0980;0.0549;-2.8051;1.2200;0.4120;-0.4560;0.5280;0.8400;-2.4367;-3.5360;-1.9100;1.9082;-0.6256;7.1759;1.9549;2.6549;4.6239;3.1459;2.4049;-1.0091;-1.2711;-0.5481;-1.2221;
05.02.2024 21:55;-1.7716;-1.8866;-1.5536;-1.5686;-2.2756;-1.2516;-0.7730;-0.2000;-0.3356;-2.6266;-1.1840;-1.9010;-0.3570;0.7160;3.2760;-0.1480;-2.0461;0.8321;-0.2378;2.3794;1.2484;3.1034;0.4874;1.9864;2.7004;-0.1586;-1.6776;3.2524;-1.0416;-1.8176;-0.8836;-2.0876;0.0000;-1.0416;-0.9496;-0.6966;-2.1146;-0.0096;0.3800;-0.0690;0.1754;-2.6436;1.2230;0.3880;-0.5520;0.4000;0.6570;-2.4623;-3.9220;-2.2700;1.5746;-0.9748;6.8404;1.9374;2.2304;4.2734;2.6574;1.6594;-0.8916;-1.4686;-0.4226;-1.1596;
05.02.2024 21:50;-1.7604;-1.8874;-1.5304;-1.4654;-2.2184;-1.2284;-0.9900;-0.4790;-0.1894;-2.4724;-1.3360;-2.0620;-0.4470;0.7100;3.2030;-0.3420;-2.2434;0.6371;-0.4319;2.1916;1.2806;3.1846;0.5606;1.9746;2.7896;-0.2134;-1.6434;3.5016;-1.1064;-1.8474;-0.7354;-2.1134;0.0000;-1.0174;-0.8944;-0.6794;-2.1014;0.0646;0.2590;-0.2180;0.2396;-2.4934;1.0790;0.2780;-0.6800;0.2850;0.5450;-2.4700;-4.1470;-2.4010;1.3809;-1.1504;6.7856;1.7986;2.0416;4.2526;2.7256;1.7956;-0.9274;-1.4414;-0.3454;-1.1374;
05.02.2024 21:45;-1.5629;-1.6929;-1.3829;-1.3659;-2.1249;-1.0559;-1.2060;-0.5100;-0.0369;-2.3649;-1.3890;-2.1790;-0.6650;0.5530;3.1330;0.0160;-1.8849;0.9948;-0.0737;2.5511;1.5381;3.4981;0.8621;2.3951;3.1781;0.3611;-1.5659;3.8121;-0.9499;-1.5809;-0.5719;-1.8859;0.0000;-0.8479;-0.7649;-0.5409;-1.9759;0.1771;-0.0110;-0.3780;0.3311;-2.4569;1.0510;0.3480;-1.0930;0.1910;0.5090;-2.4802;-3.7780;-2.1180;1.7387;-0.8062;7.2151;2.0801;2.7331;4.4431;2.8801;1.6841;-0.6749;-0.9569;-0.2139;-0.9689;
05.02.2024 21:40;-1.4036;-1.5616;-1.2056;-1.1136;-1.9056;-0.9536;-0.9450;-0.4850;0.1034;-2.1766;-1.2710;-1.9660;-0.2900;0.7080;3.3780;0.1590;-1.7453;1.1405;0.0698;2.7054;1.6134;3.4364;1.0274;2.2694;3.0494;0.0764;-1.2916;3.7364;-0.7616;-1.3596;-0.4136;-1.7646;0.0000;-0.7276;-0.6006;-0.3456;-1.7926;0.3134;0.3420;-0.2670;0.5064;-2.2916;1.1800;0.3840;-0.4980;0.3310;0.7140;-2.4591;-3.6300;-1.9460;1.8823;-0.6396;7.0994;1.9244;2.6544;4.6464;3.1324;1.8274;-0.5766;-1.1526;-0.0196;-0.8006;
05.02.2024 21:35;-1.0706;-1.1716;-0.8486;-0.8566;-1.5996;-0.5996;-0.8770;-0.4070;0.3994;-1.9366;-1.1190;-1.8240;-0.3790;0.8120;3.4300;0.2230;-1.6692;1.2018;0.1333;2.7624;1.6164;3.4574;1.0184;2.5104;2.9984;0.2474;-1.0916;3.8964;-0.5026;-0.9816;-0.0306;-1.4046;0.0000;-0.3676;-0.2966;-0.0376;-1.4466;0.6654;0.4380;-0.3090;0.8364;-1.9936;1.1740;0.5190;-0.3910;0.4990;0.8450;-2.4485;-3.6270;-1.9310;1.9457;-0.5946;7.2214;2.2354;2.7714;4.8344;2.9644;2.0874;-0.1346;-0.4046;0.2384;-0.4786;
05.02.2024 21:30;-2.1834;-2.1764;-1.8784;-1.8264;-2.5924;-1.5924;-1.0450;-0.4930;-0.5824;-2.9494;-1.5920;-2.2650;-0.7150;0.4350;2.9890;-0.3550;-2.2538;0.6237;-0.4446;2.1836;1.0276;2.8716;0.4746;1.8806;2.2876;-0.5944;-1.9314;3.0916;-1.4044;-2.2824;-0.9234;-2.5424;0.0000;-1.4374;-1.2624;-1.0284;-2.3944;-0.3634;0.0880;-0.2110;-0.1284;-2.9284;1.0300;0.0250;-0.5530;0.0350;0.2870;-2.4907;-4.0980;-2.4730;1.3683;-1.1522;6.6046;1.6466;1.8946;4.0006;2.4016;1.5856;-1.3174;-1.8954;-0.7724;-1.5324;
05.02.2024 21:25;-1.5874;-1.6194;-1.2834;-1.3274;-2.0224;-1.1284;-0.6990;-0.1520;0.0056;-2.3584;-0.9590;-1.7120;-0.2660;1.1550;3.5650;0.2510;-1.6441;1.2315;0.1612;2.7886;1.7126;3.5236;0.9726;2.3126;3.0286;-0.1704;-1.3384;3.7496;-0.6304;-0.9964;-0.5354;-1.9354;0.0000;-0.8754;-0.6234;-0.5394;-1.8764;0.1956;0.3950;-0.2430;0.4176;-2.4014;1.3250;0.5970;-0.5430;0.6880;0.9420;-2.4267;-3.5460;-1.8830;1.9742;-0.5668;7.2076;2.1676;2.7576;4.3746;3.0866;2.3246;-0.5864;-1.0154;-0.1684;-0.9004;
05.02.2024 21:20;-1.8938;-2.0198;-1.5598;-1.5348;-2.3618;-1.2808;-0.7770;-0.3870;-0.2648;-2.6658;-1.3160;-2.1130;-0.6370;0.5920;3.1660;-0.3670;-2.2710;0.6126;-0.4569;2.1752;1.0392;2.9932;0.4312;1.8952;2.4482;-0.4528;-1.8188;3.2122;-1.1678;-2.0268;-0.8028;-2.2358;0.0000;-1.2048;-1.0228;-0.8358;-2.2738;-0.0658;0.3850;0.0350;0.1112;-2.6888;1.1980;0.4410;-0.9920;0.2690;0.5230;-2.4788;-4.1980;-2.5380;1.3559;-1.1748;6.6372;1.6982;2.2152;4.0202;2.4992;1.3572;-0.9848;-1.5528;-0.3038;-1.2698;
05.02.2024 21:15;-1.3363;-1.4253;-0.9953;-0.9403;-1.7413;-0.7543;-0.9300;-0.6800;0.3487;-1.7683;-1.4480;-2.1790;-0.6840;0.6070;3.0090;-0.0790;-1.9812;0.9014;-0.1690;2.4537;1.2907;3.2517;0.7567;2.1467;3.1197;0.0447;-1.2303;3.6337;-0.6523;-1.2563;-0.1433;-1.6923;0.0000;-0.6223;-0.3943;-0.1313;-1.5563;0.5037;0.1790;-0.2560;0.7417;-1.9593;0.9880;0.2610;-1.1500;0.2330;0.3700;-2.4896;-3.8950;-2.2110;1.6436;-0.8888;6.8947;1.8057;2.4857;4.3607;2.9057;1.8427;-0.3733;-0.8093;0.5247;-0.6513;
