Image,datetime,x_centre[px],y_centre[px],x_centre[mm],y_centre[mm],rel_diff_x[mm],rel_diff_y[mm]
IMG_13082_2024-02-05_14-56-35.jpg,2024-02-05_14-56-35,163,190,71.24679959,83.0484167,0.0,-2.1854846499999923
IMG_13083_2024-02-05_15-01-43.jpg,2024-02-05_15-01-43,163,195,71.24679959,85.23390135,0.0,2.1854846499999923
IMG_13084_2024-02-05_15-06-51.jpg,2024-02-05_15-06-51,164,196,71.68389652,85.67099827999999,0.4370969300000098,0.4370969299999956
IMG_13085_2024-02-05_15-11-59.jpg,2024-02-05_15-11-59,164,198,71.68389652,86.54519214,0.0,0.8741938600000054
IMG_13086_2024-02-05_15-17-07.jpg,2024-02-05_15-17-07,161,194,70.37260573,84.79680442,-1.311290790000001,-1.7483877199999966
IMG_13087_2024-02-05_15-22-15.jpg,2024-02-05_15-22-15,164,194,71.68389652,84.79680442,1.311290790000001,0.0
IMG_13088_2024-02-05_15-27-23.jpg,2024-02-05_15-27-23,161,199,70.37260573,86.98228907,-1.311290790000001,2.1854846499999923
IMG_13089_2024-02-05_15-32-31.jpg,2024-02-05_15-32-31,148,160,64.69034564,69.9355088,-5.68226009,-17.04678027
IMG_13090_2024-02-05_15-37-39.jpg,2024-02-05_15-37-39,140,146,61.193570199999996,63.81615178,-3.4967754400000075,-6.119357019999995
IMG_13091_2024-02-05_15-42-47.jpg,2024-02-05_15-42-47,163,197,71.24679959,86.10809521,10.053229389999998,22.291943430000003
IMG_13092_2024-02-05_15-47-55.jpg,2024-02-05_15-47-55,163,205,71.24679959,89.60487065,0.0,3.4967754399999933
IMG_13093_2024-02-05_15-53-03.jpg,2024-02-05_15-53-03,164,201,71.68389652,87.85648293,0.4370969300000098,-1.7483877199999966
IMG_13094_2024-02-05_15-58-11.jpg,2024-02-05_15-58-11,152,172,66.43873336,75.18067196,-5.245163160000004,-12.67581097
IMG_13095_2024-02-05_16-03-19.jpg,2024-02-05_16-03-19,159,204,69.49841187,89.16777372,3.0596785099999977,13.987101760000002
IMG_13328_2024-02-06_11-59-29.jpg,2024-02-06_11-59-29,165,189,72.12099345,82.61131977,2.622581580000002,-6.556453950000005
IMG_13329_2024-02-06_12-04-37.jpg,2024-02-06_12-04-37,165,189,72.12099345,82.61131977,0.0,0.0
IMG_13330_2024-02-06_12-09-45.jpg,2024-02-06_12-09-45,165,196,72.12099345,85.67099827999999,0.0,3.0596785099999977
IMG_13347_2024-02-06_13-37-01.jpg,2024-02-06_13-37-01,170,194,74.30647809999999,84.79680442,2.1854846499999923,-0.8741938599999912
IMG_13348_2024-02-06_13-42-09.jpg,2024-02-06_13-42-09,170,186,74.30647809999999,81.30002898,0.0,-3.4967754400000075
IMG_13349_2024-02-06_13-47-17.jpg,2024-02-06_13-47-17,170,192,74.30647809999999,83.92261056,0.0,2.622581580000002
IMG_13350_2024-02-06_13-52-25.jpg,2024-02-06_13-52-25,170,189,74.30647809999999,82.61131977,0.0,-1.311290790000001
IMG_13351_2024-02-06_13-57-33.jpg,2024-02-06_13-57-33,170,193,74.30647809999999,84.35970749,0.0,1.7483877200000109
IMG_13352_2024-02-06_14-02-41.jpg,2024-02-06_14-02-41,171,184,74.74357503,80.42583512,0.4370969300000098,-3.933872370000003
IMG_13353_2024-02-06_14-07-49.jpg,2024-02-06_14-07-49,170,192,74.30647809999999,83.92261056,-0.4370969300000098,3.4967754399999933
IMG_13354_2024-02-06_14-12-57.jpg,2024-02-06_14-12-57,170,189,74.30647809999999,82.61131977,0.0,-1.311290790000001
IMG_13355_2024-02-06_14-18-05.jpg,2024-02-06_14-18-05,170,192,74.30647809999999,83.92261056,0.0,1.311290790000001
IMG_13356_2024-02-06_14-23-13.jpg,2024-02-06_14-23-13,169,189,73.86938117,82.61131977,-0.4370969299999956,-1.311290790000001
